Symbol,Security,Qty,Type,Open date,Adj cost per share,Adj cost
034220.KS,LG디스플레이,5,Buy,2021-08-20,"20,250",101250
005930.KS,삼성전자,1,Buy,2021-08-20,"73,100",73100
000660.KS,SK하이닉스,5,Buy,2021-09-09,"103,500",517500
000660.KS,SK하이닉스,2,Buy,2021-08-20,"102,500",205000
QQQ,인베스코QQQ,1,Buy,2021-09-02,376.85,376.85
DIA,다이야몬드 트러스트 ,1,Buy,2021-09-02,354.97,354.97
PFE,화이자,1,Buy,2021-09-09,46.27,46.27
TQQQ,ProShares Trust UltraPro QQQ,1,Buy,2021-10-05,120,120
SPYG,SPDR Portfolio S&P 500 Growth,1,Buy,2021-10-01,64.02,64.02
JETS,U.S. Global Jets,3.475437,Buy,2021-10-08,24.02,83.47999674
TAN,Invesco Solar,1.053508,Buy,2021-10-08,79.24,83.47997392
FNGG,Direxion Daily Select Large Caps & FANGs Bull 2X S,2,Buy,2021-10-08,26.5,53
